co2	temp	humidity
614	25.48	47.22
615	25.48	47.15
616	25.47	47.1
616	25.5	47.14
615	25.5	47.16
616	25.48	47.16
616	25.48	47.23
616	25.48	47.23
618	25.48	47.29
618	25.51	47.22
619	25.51	47.24
620	25.53	47.33
624	25.51	47.34
624	25.53	47.36
624	25.53	47.34
625	25.51	47.36
625	25.54	47.37
626	25.51	47.42
627	25.51	47.59
627	25.5	47.63
627	25.5	47.69
628	25.53	47.79
628	25.51	47.96
627	25.53	47.99
627	25.54	47.86
627	25.53	47.88
628	25.53	47.93
627	25.51	47.99
628	25.54	48.19
627	25.53	48.55
629	25.53	48.5
630	25.54	48.2
629	25.54	48.0
630	25.54	47.92
630	25.53	47.92
630	25.51	47.99
632	25.53	47.98
632	25.5	48.07
633	25.51	48.1
632	25.51	48.17
633	25.5	48.25
632	25.48	48.36
631	25.51	48.26
632	25.54	48.27
632	25.53	48.39
631	25.53	48.48
630	25.53	48.31
631	25.53	48.09
631	25.53	48.27
634	25.56	48.2
636	25.54	48.2
640	25.54	48.24
641	25.58	48.3
642	25.56	48.41
644	25.57	48.43
648	25.56	48.35
651	25.57	48.31
652	25.56	48.19
655	25.56	48.19
654	25.56	48.29
654	25.54	48.22
653	25.54	48.29
654	25.6	48.13
653	25.58	48.01
655	25.57	48.06
655	25.56	48.16
656	25.57	48.11
656	25.58	48.13
657	25.56	48.13
658	25.58	48.2
658	25.58	48.11
658	25.58	48.05
658	25.6	47.94
659	25.6	47.85
658	25.58	47.86
658	25.6	47.84
658	25.6	47.83
658	25.61	47.84
658	25.6	47.78
659	25.6	47.74
658	25.6	47.71
658	25.6	47.71
659	25.6	47.76
658	25.61	47.79
658	25.61	47.86
657	25.63	47.76
655	25.63	47.75
656	25.63	47.81
656	25.64	47.76
655	25.63	47.76
655	25.68	47.76
656	25.64	47.75
656	25.64	47.78
656	25.65	47.9
657	25.64	47.78
658	25.65	47.73
658	25.65	47.73
658	25.64	47.73
658	25.64	47.8
657	25.67	47.92
657	25.65	47.89
660	25.65	47.86
662	25.7	47.74
665	25.67	47.74
668	25.67	47.73
668	25.67	47.71
668	25.68	47.67
667	25.68	47.72
667	25.68	47.77
666	25.7	47.7
666	25.7	47.7
664	25.67	47.7
663	25.7	47.77
663	25.67	47.77
663	25.67	47.77
662	25.7	47.78
663	25.68	47.74
663	25.67	47.74
663	25.67	47.73
664	25.7	47.79
666	25.67	47.94
668	25.68	47.82
668	25.7	47.82
668	25.7	47.72
670	25.67	47.77
670	25.68	47.94
671	25.68	47.85
672	25.67	47.84
675	25.68	47.89
676	25.68	47.88
676	25.64	47.79
675	25.65	47.84
675	25.67	47.83
673	25.65	47.67
673	25.68	47.93
674	25.67	47.79
674	25.67	47.66
674	25.67	47.7
673	25.7	47.67
672	25.65	47.68
672	25.68	47.58
672	25.67	47.78
671	25.68	47.66
669	25.65	47.64
668	25.67	47.52
667	25.67	47.4
667	25.65	47.42
666	25.68	47.34
664	25.65	47.3
662	25.65	47.12
658	25.65	47.17
657	25.67	47.14
654	25.65	47.06
652	25.67	47.04
645	25.68	46.93
645	25.64	46.77
639	25.64	46.58
637	25.67	46.59
632	25.65	46.47
627	25.65	46.44
623	25.67	46.4
617	25.65	46.54
608	25.65	46.41
603	25.67	46.42
600	25.67	46.32
590	25.65	46.65
589	25.64	46.4
588	25.67	46.53
587	25.63	46.54
585	25.65	46.44
582	25.65	46.23
578	25.64	46.19
576	25.64	46.24
576	25.64	46.3
572	25.64	46.31
571	25.63	46.29
568	25.61	46.33
566	25.61	46.35
562	25.6	46.38
560	25.63	47.84
562	25.61	47.19
563	25.6	46.59
565	25.61	46.63
566	25.64	46.58
567	25.6	46.57
568	25.6	46.62
568	25.63	46.7
568	25.63	46.75
569	25.64	46.64
569	25.64	46.62
568	25.63	46.62
567	25.64	46.62
568	25.63	46.69
567	25.64	46.58
567	25.64	46.6
566	25.65	46.61
566	25.64	46.65
565	25.64	46.65
565	25.65	46.97
566	25.64	47.05
567	25.67	47.11
567	25.64	46.89
568	25.64	46.74
567	25.65	46.68
564	25.64	46.58
564	25.65	46.41
559	25.64	46.42
560	25.64	46.51
560	25.64	46.74
561	25.65	46.89
561	25.61	46.71
562	25.61	46.66
561	25.61	46.79
561	25.6	46.8
561	25.58	46.79
561	25.57	46.92
561	25.57	46.91
561	25.56	46.85
562	25.56	47.15
561	25.54	47.29
561	25.54	47.06
561	25.54	46.93
562	25.53	47.04
562	25.51	47.19
562	25.54	47.26
563	25.51	47.29
563	25.51	47.23
561	25.51	47.29
562	25.51	47.4
562	25.54	47.64
562	25.53	47.64
562	25.56	47.54
563	25.56	47.31
563	25.54	47.27
